code,num
C1072,524.3125684578514
C1128,684.6716414973941
C1456,488.23177702395435
C1840,481.2828838589075
C1332,669.4375295586375
C1563,850.376016971588
C1794,683.3353158887312
C1640,465.2469765549532
C1377,448.4092738858013
C2072,417.13925464309045
C1472,469.25595338094183
C1006,725.0286748790127
C1083,436.91687365130076
C1311,425.1572082950675
C2676,1010.2005597676664
C2318,435.0460177991727
C1603,483.68826995450064
C2523,421.95002683427674
C2177,655.539743228544
C2411,579.9037137782262
C2033,696.9658370970922
C1604,465.51424167668586
C2535,471.9286045982675
C1040,493.30981433687316
C2417,454.82363680738297
C1812,595.6723559604476
C2253,633.0894730030083
C1294,512.2856379798857
C1772,455.3581670508481
C2646,478.8774977633144
C1152,670.5065900455677
C2423,378.1185468701351
C1844,488.49904214568693
C1318,406.1813846520551
C1729,490.36989799781486
C1602,431.8388363383819
C1239,455.8926972943133
C1721,499.99144238018744
C1902,584.7144859694125
C1855,434.77875267744014
C2600,467.1178324070812
C1071,463.9106509462904
C2295,455.3581670508482
C1621,481.2828838589075
C1852,562.7987459873417
C2555,708.1909722098603
C1297,442.79670632941736
C2323,483.9555350762331
C2215,455.3581670508481
C2112,423.55361756467215
C1830,560.9278901352136
C2602,416.0701941561602
C2608,626.9423752031588
C1215,552.9099364832365
C2369,498.12058652805945
C1158,392.81812856542655
C1887,536.8740291792822
C1189,404.8450590433922
C1637,463.10885558109277
C1225,377.0494863832048
C2374,425.6917385385327
C2397,471.661339476535
C1105,601.8194537602969
C1782,457.22902290297606
C1629,382.9293190613214
C1708,410.1903614780436
C2144,544.0901874660617
C1617,592.1979093779245
C1149,464.712446311488
C1323,457.229022902976
C1064,583.9126906042147
C1019,408.5867707476482
C2269,487.9645119022217
C1416,576.1620020739701
C1250,584.9817510911452
C1741,426.49353390373045
C1016,494.64613994553605
C2675,459.6344089985692
C2436,512.0183728581532
C2039,583.6454254824822
C1253,552.6426713615039
C2028,661.4195759066604
C1166,418.7428453734859
C1135,388.00735637424026
C1216,408.3195056259156
C1593,411.5266870867065
C1826,398.69796124354315
C1827,459.3671438768367
C1564,417.406519764823
C1495,636.8311847072639
C2653,557.7207086744228
C1392,535.0031733271543
C2128,412.32848245190416
C1282,521.9071823622581
C1521,700.7075488013484
C2076,692.9568602711038
C1060,498.92238189325724
C2473,629.3477612987518
C2557,580.4382440216914
C1835,606.0956957080181
C2224,543.5556572225966
C2222,444.6675621815453
C2430,506.40580530176925
C2497,453.22004607698756
C1494,517.3636752928046
C1457,519.5017962666652
C1525,678.5245436975449
C1712,519.7690613883977
C2267,641.1074266549849
C1623,401.9051427043339
C2131,466.5833021636161
C2691,527.2524847969097
C1147,623.2006634989028
C1692,694.2931858797666
C1570,664.3594922457187
C1474,373.5750398006814
C1633,370.3678583398905
C2113,587.3871371867382
C2175,481.81741410237265
C2303,580.1709788999588
C2547,490.1026328760823
C2292,564.9368669612022
C1496,473.79946045039543
C1289,451.6164553465922
C1849,604.4921049776227
C1003,451.08192510312705
C2268,563.333276230807
C2551,502.9313587192457
C2688,362.88443493137856
C1030,342.83955080143573
C1327,348.98664860128486
C2451,428.36438975585844
C1749,549.4354899007132
C1349,447.07294827713844
C2043,448.14200876406863
C1229,443.8657668163477
C2363,553.7117318484343
C1414,556.1171179440274
C2174,577.7655928043656
C2091,362.88443493137856
C2335,352.72836030554083
C1841,349.52117884475
C2404,379.9894027222633
C1683,410.4576265997762
C1038,470.85954411133724
C2456,416.0701941561602
C1266,482.0846792241053
C2152,354.86648127940146
C1267,503.1986238409782
C2189,424.88994317333504
